source_file,source_kind,voucher_type,date,party_ledger,debit_ledger,credit_ledger,amount,narration,confidence,needs_review,cgst_amount,sgst_amount,igst_amount,total_amount,inventory_items,charge_lines,voucher_number,party_gstin
20260726_164425_DR VIJAY.pdf,Bank Statement,Payment,20250409,Suspense,Suspense,bank of baroda,500.0,IMPS/P2A/50991 500.00,Medium,No,0.0,0.0,0.0,0.0,[],[],,
20260726_164425_DR VIJAY.pdf,Bank Statement,Payment,20250409,Suspense,Suspense,bank of baroda,2.95,CHARGES FOR 2.95 34,Medium,No,0.0,0.0,0.0,0.0,[],[],,
20260726_164425_DR VIJAY.pdf,Bank Statement,Receipt,20250409,Suspense,bank of baroda,Suspense,124071.0,"DIGITA-MUMBAI/ 1,24,07",Medium,No,0.0,0.0,0.0,0.0,[],[],,
20260726_164425_DR VIJAY.pdf,Bank Statement,Payment,20250409,Suspense,Suspense,bank of baroda,24000.0,"IMPS/P2A/50992 24,000.",Medium,No,0.0,0.0,0.0,0.0,[],[],,
20260726_164425_DR VIJAY.pdf,Bank Statement,Payment,20250409,Suspense,Suspense,bank of baroda,5.9,"CHARGES FOR 5.90 1,",Medium,No,0.0,0.0,0.0,0.0,[],[],,
20260726_164425_DR VIJAY.pdf,Bank Statement,Payment,20250410,Suspense,Suspense,bank of baroda,0.94,"SMS Charges 0.94 1,",Medium,No,0.0,0.0,0.0,0.0,[],[],,
20260726_164425_DR VIJAY.pdf,Bank Statement,Receipt,20250410,Suspense,bank of baroda,Suspense,92409.0,"DIGITA-MUMBAI/ 92,409.",Medium,No,0.0,0.0,0.0,0.0,[],[],,
20260726_164425_DR VIJAY.pdf,Bank Statement,Payment,20250410,Suspense,Suspense,bank of baroda,50000.0,"IMPS/P2A/51001 50,000.",Medium,No,0.0,0.0,0.0,0.0,[],[],,
20260726_164425_DR VIJAY.pdf,Bank Statement,Payment,20250410,Suspense,Suspense,bank of baroda,8.85,"CHARGES FOR 8.85 1,",Medium,No,0.0,0.0,0.0,0.0,[],[],,
20260726_164425_DR VIJAY.pdf,Bank Statement,Payment,20250411,Suspense,Suspense,bank of baroda,10000.0,"MBK/5101385317 38531770 10,000.",Medium,No,0.0,0.0,0.0,0.0,[],[],,
20260726_164425_DR VIJAY.pdf,Bank Statement,Payment,20250412,Suspense,Suspense,bank of baroda,1800.0,"MBK/5102520637 52063746 1,800.0",Medium,No,0.0,0.0,0.0,0.0,[],[],,
20260726_164425_DR VIJAY.pdf,Bank Statement,Payment,20250414,Suspense,Suspense,bank of baroda,100000.0,"SERJAI-JAIPUR/ 351 1,00,00",Medium,No,0.0,0.0,0.0,0.0,[],[],,
20260726_164425_DR VIJAY.pdf,Bank Statement,Payment,20250414,Suspense,Suspense,bank of baroda,10000.0,"MBK/5104725283 72528399 10,000.",Medium,No,0.0,0.0,0.0,0.0,[],[],,
